System,Variable,Base,Min,Max,Rationale,Status
Damage,克制倍率·克制,1.5,,,三系RPS固定值,与LV无关,ANCHOR
Damage,克制倍率·被克,0.67,,,约2/3凑整,ANCHOR
Damage,克制倍率·同级,1.0,,,同属性互打,ANCHOR
Damage,命中系数·答对,1.0,,,答对=全额伤害,ANCHOR
Damage,命中系数·答错,0.0,,,答错=0伤害+己方挨打,ANCHOR
Damage,基础ATK(LV),"10+2*LV","8+1*LV","14+3*LV",初值种子LV1≈12/LV5≈20/LV10≈30,[PLACEHOLDER]
Damage,最大HP(LV),"40+8*LV","30+6*LV","60+12*LV",初值种子LV1≈48/LV5≈80/LV10≈120,[PLACEHOLDER]
Level,单题答对EXP,10,5,20,一场4题≈40EXP,[PLACEHOLDER]
Level,击败野怪EXP,"20+5*敌LV","10+3*敌LV","40+8*敌LV",收尾奖励,[PLACEHOLDER]
Level,升级所需累计EXP,"100*(目标LV-1)",,,LV1to2=100/LV5to6=500需验算,[PLACEHOLDER]
Evolution,T_LV(等级门槛),8,5,12,约10-15场收尾;太低绕过考试/太高卡墙,[PLACEHOLDER]
Evolution,综合考N题,5,3,8,覆盖>=3知识点,[PLACEHOLDER]
Evolution,综合考正确率X%,80%,70%,90%,低于70%形同虚设/高于90%低龄劝退,[PLACEHOLDER]
Evolution,综合考整体限时T,90s,60s,120s,选择题子题仍套10s,[PLACEHOLDER]
QType,选择题倒计时,10s,,,统一不按年级缩放,ANCHOR
QType,填空尝试上限K,3,,,用完=miss,ANCHOR
QType,跟读录制上限M,2,,,超次=miss,ANCHOR
QType,连线/拖拽时限,无,,,,,ANCHOR
Catch,收服触发HP阈值,30%,20%,50%,削弱到三成血弹窗,[PLACEHOLDER]
Economy,知识结晶·单题(难度d),d(1..5),,,难题给多造动机,[PLACEHOLDER]
Economy,捕获球·每日登录,3,1,5,防无限刷,[PLACEHOLDER]
Economy,伤药·结晶兑换比,5:1,,,回血sink耗结晶,[PLACEHOLDER]
